gene_id	T_PQ_N2_set1	T_Con_N2_set1	T_Con_N2_set2	T_PQ_N2_set2
WBGene00000001	1727.0	2522.0	2530.0	3242.0
WBGene00000002	146.0	97.0	95.0	277.0
WBGene00000003	119.0	125.0	138.0	272.0
WBGene00000004	615.0	439.0	432.0	1098.0
WBGene00000005	52.0	98.0	49.0	89.0
WBGene00000006	187.0	121.0	123.0	287.0
WBGene00000007	97.0	73.0	29.0	147.0
WBGene00000008	5.0	22.0	10.0	5.0
WBGene00000009	18.0	16.0	13.0	39.0
WBGene00000010	1331.0	1953.0	2112.0	2403.0
WBGene00000012	0.0	0.0	4.0	1.0
WBGene00000013	12.0	15.0	24.0	33.0
WBGene00000014	0.0	0.0	0.0	0.0
WBGene00000015	0.0	3.0	0.0	2.0
WBGene00000016	88.0	77.0	70.0	151.0
WBGene00000017	134.0	110.0	100.0	271.0
WBGene00000018	811.0	753.0	790.0	1491.0
WBGene00000019	18.0	18.0	19.0	25.0
WBGene00000020	437.0	393.0	405.0	882.0
WBGene00000021	0.0	6.0	0.0	3.0
WBGene00000022	1472.0	880.0	1095.0	1734.0
WBGene00000023	11.0	18.0	8.0	15.0
WBGene00000024	7.99	0.0	0.0	17.0
WBGene00000025	2.0	0.0	1.0	1.0
WBGene00000026	0.0	0.0	0.0	0.0
WBGene00000027	1.31	0.0	1.0	4.0
WBGene00000028	0.0	0.0	0.0	0.0
WBGene00000029	0.0	0.0	0.0	0.0
WBGene00000030	6.0	0.0	1.0	1.0
WBGene00000031	99.0	7.0	16.0	288.0
WBGene00000032	2.0	1.72	2.0	3.57
WBGene00000033	40.0	11.0	4.0	96.0
WBGene00000034	63.0	10.0	16.0	146.0
WBGene00000035	144.0	96.0	99.0	238.0
WBGene00000036	191.0	150.0	117.0	352.0
WBGene00000037	111.0	25.0	39.0	217.0
WBGene00000038	14.0	12.0	3.0	44.0
WBGene00000039	414.0	72.0	67.0	708.0
WBGene00000040	4668.0	2609.0	2429.0	6342.0
WBGene00000041	15909.0	18588.0	18465.0	24364.0
WBGene00000042	6.0	8.0	1.0	18.0
WBGene00000043	7.0	2.0	4.0	4.0
WBGene00000044	9.0	16.0	12.0	20.0
WBGene00000045	3.0	0.0	6.0	8.0
WBGene00000046	13.0	4.0	4.0	25.0
WBGene00000047	23.0	9.0	12.0	62.0
WBGene00000048	14.0	4.0	3.0	36.0
WBGene00000049	6.0	6.0	2.0	15.0
WBGene00000050	35.0	20.0	32.0	37.0
WBGene00000051	60.0	11.0	15.0	87.0
WBGene00000053	1.0	0.0	4.0	12.0
WBGene00000054	37.0	28.0	20.0	56.0
WBGene00000055	29.0	33.0	37.0	47.0
WBGene00000056	16.0	18.0	26.0	29.0
WBGene00000057	30.0	27.0	29.0	53.0
WBGene00000058	17.0	8.0	11.0	34.0
WBGene00000059	15.0	16.0	7.0	38.0
WBGene00000060	22.0	15.0	9.0	38.0
WBGene00000061	8.0	1.0	2.0	21.0
WBGene00000062	0.0	1.0	3.0	6.0
WBGene00000063	9345.09	20760.77	20314.23	15720.71
WBGene00000064	20442.27	39757.26	38079.97	37285.23
WBGene00000065	10335.42	17881.7	18895.7	19369.71
WBGene00000066	7157.0	9400.0	10814.0	12043.0
WBGene00000067	2600.0	2374.0	2396.0	4274.0
WBGene00000068	168.0	118.0	140.0	369.0
WBGene00000069	21.0	22.0	6.0	49.0
WBGene00000070	233.0	181.0	215.0	489.0
WBGene00000071	156.0	140.0	114.0	261.0
WBGene00000072	138.0	144.0	93.0	165.0
WBGene00000073	313.0	449.0	498.82	677.0
WBGene00000074	697.0	837.0	1077.0	1375.0
WBGene00000075	410.0	684.0	624.0	724.0
WBGene00000079	1976.63	3375.85	3174.07	4050.3
WBGene00000080	1930.0	2689.0	2468.0	3797.0
WBGene00000081	3501.0	2067.0	2157.0	5894.0
WBGene00000082	47.0	37.0	30.0	77.0
WBGene00000083	169.0	370.0	319.0	407.0
WBGene00000084	179.0	127.0	73.0	251.0
WBGene00000085	12.0	6.0	2.0	22.0
WBGene00000086	342.0	177.0	163.0	536.0
WBGene00000088	351.0	195.0	166.0	586.0
WBGene00000089	117.0	83.0	106.0	257.0
WBGene00000090	2334.0	3716.0	3803.0	4356.0
WBGene00000092	785.0	772.0	808.0	1511.0
WBGene00000093	492.0	512.0	474.0	918.0
WBGene00000094	462.0	686.0	817.0	818.0
WBGene00000095	505.0	438.0	655.0	938.0
WBGene00000096	27.0	19.0	20.0	46.0
WBGene00000097	1016.0	1164.0	1438.0	2016.0
WBGene00000098	4526.0	7103.0	7137.0	8108.0
WBGene00000099	1767.0	2607.0	2641.0	3252.0
WBGene00000100	3063.0	1663.0	2216.0	5586.0
WBGene00000101	6716.0	10155.0	9858.0	12585.0
WBGene00000102	4805.0	7043.0	7022.0	8911.0
WBGene00000103	400.0	384.0	567.0	786.0
WBGene00000105	2732.0	1964.0	1942.0	4332.0
WBGene00000106	2409.0	3376.0	3651.0	3995.0
WBGene00000107	5248.0	5848.0	5948.0	8450.0
WBGene00000108	0.0	0.0	0.0	0.0
WBGene00000109	2356.0	1789.0	1708.0	3379.0
WBGene00000110	2331.0	3367.0	3394.0	4352.0
WBGene00000111	234.0	119.0	85.0	287.0
WBGene00000112	1235.0	1596.0	1450.0	2090.0
WBGene00000113	1326.0	1529.0	1504.0	1976.0
WBGene00000114	29704.0	20040.0	17571.0	40460.0
WBGene00000115	1514.0	2478.0	2818.0	2705.0
WBGene00000116	188.0	97.0	79.0	195.0
WBGene00000117	1270.0	1198.0	1205.0	1948.0
WBGene00000118	906.0	891.0	662.0	1087.0
WBGene00000120	685.0	464.0	662.0	1425.0
WBGene00000121	5432.0	8036.0	7622.0	10518.0
WBGene00000122	4221.0	5286.0	5253.0	8014.0
WBGene00000123	5912.0	9298.0	10344.0	10452.0
WBGene00000133	57.0	190.0	189.0	86.0
WBGene00000134	10.0	4.0	13.0	16.0
WBGene00000135	36.0	26.0	39.0	56.0
WBGene00000136	506.0	168.0	88.0	432.0
WBGene00000137	423.0	626.0	630.0	870.0
