"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000063","T04C12.6","Cytoskeleton","Cytoskeleton: actin function","Cytoskeleton: actin function: actin","act-1 is an ortholog of human ACTB, ACTRT1 (actin related protein T1), and ACTL10 (actin like 10) and members of the human ACT (Actins) gene family including ACTG2, ACTC1, and ACTA1\; is predicted to be a structural constituent of cytoskeleton\; is involved in several processes, including cortical actin cytoskeleton organization, embryo development, and mitotic cytokinesis\; is expressed in the Psub4, the Z2, the Z3, the body wall musculature, and the gonad\; human orthologs of this gene are implicated in several diseases, including artery disease (multiple), intrinsic cardiomyopathy (multiple), and myopathy (multiple)."
"2","WBGene00000133","C05E11.4","Transmembrane transport","Transmembrane transport: ammonium","Transmembrane transport: ammonium","amt-1 is predicted to have ammonium transmembrane transporter activity."
"3","WBGene00000213","W03G1.7","Metabolism","Metabolism: lipid","Metabolism: lipid: sphingolipid","asm-3 is an ortholog of human SMPD1\; is predicted to have sphingomyelin phosphodiesterase activity."
"4","WBGene00000465","C07G2.1","Extracellular material","Extracellular material: PGI","Extracellular material: PGI","cpg-1 exhibits chitin binding activity\; is involved in several processes, including eggshell formation, embryo development, and mitotic cytokinesis\; localizes to the external encapsulating structure\; is expressed in the eggshell and the germ line."
"5","WBGene00000535","K08B4.6","Proteolysis general","Proteolysis general: inhibitor","Proteolysis general: inhibitor: cysteine","cpi-1 is an ortholog of human CST6 (cystatin E\/M), CSTL1 (cystatin like 1), and CST1 (cystatin SN)\; is predicted to have cysteine-type endopeptidase inhibitor activity."
"6","WBGene00000597","F11H8.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-8 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"7","WBGene00000608","ZK1193.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-19 is an ortholog of human SFTPD (surfactant protein D)\; is a structural constituent of collagen and cuticulin-based cuticle\; is involved in cuticle development involved in collagen and cuticulin-based cuticle molting cycle\; localizes to the alae of collagen and cuticulin-based cuticle extracellular matrix and annuli extracellular matrix\; is expressed in the epithelial system, the male, the syncytium, and the vulva."
"8","WBGene00000609","F11G11.11","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-20 is predicted to be a structural constituent of cuticle."
"9","WBGene00000620","ZC513.8","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-43 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle\; is expressed in the hypodermis."
"10","WBGene00000656","C09G5.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-80 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"11","WBGene00000657","F38A3.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-81 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"12","WBGene00000668","W05B2.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-93 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"13","WBGene00000670","Y41C4A.16","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-95 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"14","WBGene00000673","F14F7.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-98 is predicted to be a structural constituent of cuticle."
"15","WBGene00000675","K02D7.3","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-101 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"16","WBGene00000677","F56B3.1","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-103 is predicted to be a structural constituent of cuticle."
"17","WBGene00000680","Y77E11A.15","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-106 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"18","WBGene00000693","C53B4.5","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-119 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"19","WBGene00000696","T05A1.2","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-122 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"20","WBGene00000698","C24F3.6","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-124 is an ortholog of human SFTPD (surfactant protein D)\; is predicted to be a structural constituent of cuticle."
"21","WBGene00000712","F41F3.4","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","col-139 is predicted to be a structural constituent of cuticle."
