"","Category","RGS","AC","PValue"
"5","Extracellular material: collagen",26,184,2.26118062196247e-23
"13","Metabolism: lipid",19,526,5.10026157356964e-08
"28","Stress response: detoxification",11,206,8.16349763348015e-07
"15","Metabolism: short chain dehydrogenase",5,42,2.41432830611357e-05
"30","Stress response: pathogen",8,192,0.000128495501442506
"16","Muscle function",5,62,0.000134566852579192
"7","Extracellular material: PGI",4,53,0.000804325378545558
"44","Unassigned",71,6343,0.00127404291406542
"6","Extracellular material: matrix",4,67,0.00182445619636277
"9","Lysosome: acid phosphatase",3,31,0.00191936941911492
"17","Neuronal function: synaptic function",7,244,0.00265848932200171
"29","Stress response: heavy metal",2,16,0.00739586423983772
"20","Proteolysis general: metallopeptidase",4,123,0.0140809924830343
"25","Signaling: hedgehog-like",3,89,0.0295147359879128
"11","Metabolism: FMO",1,5,0.0424919777348818
"34","Transcription: chromatin structure",3,105,0.0440984493030317
"38","Transmembrane transport: ammonium",1,6,0.0493955551651205
"40","Transmembrane transport: monocarboxylate",1,6,0.0493955551651205
"37","Transmembrane transport: ABC",2,50,0.0545205868451601
"42","Transmembrane transport: sugar",1,10,0.0765135761289941
"19","Proteolysis general: lysozyme",1,11,0.0831708072103969
"18","Proteolysis general: inhibitor",2,66,0.0869062503590276
"2","Cytoskeleton: intermediate filament protein",1,12,0.0897798386674781
"10","Metabolism: carbohydrate",2,83,0.125894674913311
"23","Proteolysis proteasome: E3",7,590,0.145982002908957
"41","Transmembrane transport: solute carrier",3,197,0.176743775723463
"21","Proteolysis general: serine",1,34,0.223666993484134
"12","Metabolism: glycolysis",1,37,0.240322477168559
"1","Cytoskeleton: actin function",1,42,0.267287989549576
"39","Transmembrane transport: chloride channel",1,44,0.277803098992986
"27","Stress response: C-type Lectin",3,256,0.287597196415966
"31","Stress response: unassigned",1,49,0.303432613698235
"43","Transmembrane transport: unassigned",1,51,0.313426811955188
"8","Extracellular material: secreted protein",1,54,0.32814873473493
"22","Proteolysis general: unassigned",1,68,0.392768393278182
"26","Signaling: unassigned",1,70,0.401475615763112
"3","Cytoskeleton: unassigned",1,77,0.430975250423187
"4","Development: general",1,81,0.447171927809715
"32","Trafficking: ER/Golgi",1,87,0.470603015265359
"33","Transcription factor: NHR",2,259,0.561037849463004
"36","Transmembrane protein: unassigned",9,1692,0.855854533858469
"14","Metabolism: mitochondria",1,366,0.928697839278092
"35","Transmembrane protein: seven transmembrane receptor",1,1473,0.999970351263911
"24","Pseudogene",1,2081,0.999999539772657
