"Category","RGS","AC","PValue","Bonferroni"
"Stress response",120,833,2.76180394868923e-24,8.00923145119877e-23
"Extracellular material",85,495,4.6591626472667e-22,1.35115716770734e-20
"Transcription factor",88,581,1.18091639445797e-19,3.42465754392811e-18
"Neuronal function",50,308,5.52966486862974e-13,1.60360281190262e-11
"Unassigned",408,6343,8.35918453168332e-10,2.42416351418816e-08
"Cytoskeleton",47,371,3.9725230641936e-09,1.15203168861614e-07
"Cilia",17,60,2.52409951588266e-08,7.31988859605971e-07
"Signaling",97,1188,2.04125789704845e-07,5.91964790144051e-06
"Proteolysis general",40,394,7.85932303306438e-06,0.000227920367958867
"Development",31,295,4.16321504263493e-05,0.00120733236236413
