gene_id	T_N2_set6	T_ky5_L4_set7	T_N2_set5	T_e113_set6	T_ky5_L4_set5	T_e113_set5
WBGene00000001	739.0	684.0	654.0	595.0	713.0	788.0
WBGene00000002	180.0	470.0	213.0	218.0	179.0	335.0
WBGene00000003	444.0	339.0	281.0	610.0	367.0	604.0
WBGene00000004	128.0	195.0	165.0	516.0	191.0	587.0
WBGene00000005	174.0	313.0	194.0	134.0	214.0	190.0
WBGene00000006	378.0	358.0	279.0	829.0	425.0	865.0
WBGene00000007	415.0	426.0	332.0	417.0	381.0	363.0
WBGene00000008	17.0	14.0	1.0	33.0	25.0	30.0
WBGene00000009	28.0	52.0	30.0	26.0	53.0	24.0
WBGene00000010	595.0	530.0	617.0	479.0	566.0	624.0
WBGene00000012	0.0	0.0	0.0	2.0	0.0	0.0
WBGene00000013	1.0	7.0	1.0	1.0	2.0	6.0
WBGene00000014	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000015	3.0	3.0	5.0	7.0	2.0	7.0
WBGene00000016	44.0	10.0	15.0	242.0	15.0	152.0
WBGene00000017	100.0	31.0	33.0	283.0	66.0	200.0
WBGene00000018	643.0	950.0	1028.0	948.0	1116.0	1332.0
WBGene00000019	589.0	708.0	554.0	56.0	683.0	286.0
WBGene00000020	571.0	516.0	657.0	498.0	932.0	1011.0
WBGene00000021	86.0	108.0	109.0	10.0	134.0	37.0
WBGene00000022	934.0	1240.0	570.0	1173.0	2441.0	1207.0
WBGene00000023	682.0	712.0	728.0	67.0	841.0	320.0
WBGene00000024	3904.88	4017.16	2910.28	2304.06	12785.52	4070.67
WBGene00000025	52.95	17.0	135.0	0.0	7.0	6.95
WBGene00000026	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000027	239.37	94.0	214.63	46.84	196.69	85.0
WBGene00000028	3.0	3.03	0.0	0.0	20.0	0.0
WBGene00000029	1581.16	1365.62	929.76	1568.25	6684.15	2567.95
WBGene00000030	2420.62	1715.03	1440.37	1955.06	9251.69	3287.64
WBGene00000031	3740.42	2802.07	2824.99	4171.37	12545.89	7049.2
WBGene00000032	463.16	645.07	165.44	303.05	2863.01	641.17
WBGene00000033	1970.0	1567.0	1338.0	1731.0	6342.0	3028.0
WBGene00000034	3798.0	3905.0	4041.0	2600.0	10021.0	3964.0
WBGene00000035	204.0	183.0	153.0	203.0	282.0	275.0
WBGene00000036	500.0	573.0	345.0	657.0	645.0	775.0
WBGene00000037	64.0	69.0	83.0	186.0	94.0	208.0
WBGene00000038	20.0	12.0	14.0	79.0	26.0	75.0
WBGene00000039	1878.0	4686.0	3721.0	3270.0	1927.0	5938.0
WBGene00000040	3196.0	4728.0	3080.0	6115.0	3917.0	7430.0
WBGene00000041	11510.0	10789.0	10321.0	16337.0	12585.0	19078.0
WBGene00000042	63.0	68.0	76.0	65.0	56.0	63.0
WBGene00000043	14.0	10.0	14.0	16.0	8.0	39.0
WBGene00000044	23.0	11.0	15.0	29.0	21.0	32.0
WBGene00000045	6.0	1.0	0.0	7.0	1.0	9.0
WBGene00000046	29.0	51.0	31.0	60.0	35.0	40.0
WBGene00000047	71.0	113.0	83.0	146.0	92.0	210.0
WBGene00000048	30.0	43.0	69.0	29.0	52.0	52.0
WBGene00000049	13.0	11.0	8.0	21.0	10.0	23.0
WBGene00000050	38.0	35.0	34.0	46.0	26.0	46.0
WBGene00000051	45.0	39.0	39.0	82.0	129.0	119.0
WBGene00000053	5.0	8.0	8.0	15.0	5.0	16.0
WBGene00000054	76.0	77.0	58.0	90.0	68.0	102.0
WBGene00000055	106.0	111.0	76.0	93.0	86.0	127.0
WBGene00000056	8.0	7.0	14.0	21.0	10.0	21.0
WBGene00000057	91.0	52.0	43.0	46.0	55.0	53.0
WBGene00000058	19.0	34.0	28.0	51.0	39.0	51.0
WBGene00000059	37.0	26.0	32.0	37.0	33.0	56.0
WBGene00000060	22.0	26.0	37.0	63.0	35.0	73.0
WBGene00000061	25.0	22.0	20.0	83.0	25.0	54.0
WBGene00000062	16.0	34.0	9.0	55.0	14.0	44.0
WBGene00000063	33687.36	32299.63	33852.39	49958.97	49626.29	71706.23
WBGene00000064	13865.74	8778.29	13103.24	11153.89	10945.52	18866.77
WBGene00000065	47008.83	31878.55	46636.13	69805.77	41661.68	86957.01
WBGene00000066	45365.0	34660.0	55203.0	55860.0	47525.0	89850.0
WBGene00000067	13000.0	13416.0	9630.0	16298.0	17018.0	19531.0
WBGene00000068	361.0	244.0	370.0	408.0	330.0	619.0
WBGene00000069	58.0	27.0	36.0	90.0	63.0	116.0
WBGene00000070	310.0	648.0	461.0	686.0	429.0	906.0
WBGene00000071	212.0	235.0	119.0	146.0	322.0	164.0
WBGene00000072	220.0	206.0	137.0	224.0	200.0	275.0
WBGene00000073	245.0	266.0	168.0	414.0	250.0	426.0
WBGene00000074	407.0	620.0	546.0	696.0	597.0	919.0
WBGene00000075	200.0	215.0	197.0	262.0	231.0	306.0
WBGene00000079	863.37	1265.06	822.41	1248.01	1102.48	1668.81
WBGene00000080	963.0	728.0	755.0	775.0	748.0	930.0
WBGene00000081	4182.0	4392.0	2234.0	4027.0	5520.0	4630.0
WBGene00000082	728.0	2267.0	1877.0	915.0	1864.0	1406.0
WBGene00000083	1165.0	1242.0	1314.0	2293.0	1200.0	3007.0
WBGene00000084	156.0	177.0	97.0	148.0	284.0	202.0
WBGene00000085	35.0	49.0	39.0	50.0	28.0	62.0
WBGene00000086	175.0	306.0	242.0	300.0	368.0	407.0
WBGene00000088	388.0	449.0	247.0	442.0	376.0	519.0
WBGene00000089	181.0	190.0	133.0	213.0	178.0	273.0
WBGene00000090	814.0	805.0	796.0	625.0	852.0	1011.0
WBGene00000092	413.0	439.0	349.0	401.0	421.0	504.0
WBGene00000093	365.0	220.0	207.0	320.0	213.0	310.0
WBGene00000094	156.0	74.0	136.0	101.0	119.0	176.0
WBGene00000095	244.0	313.0	305.0	542.0	318.0	636.0
WBGene00000096	16.0	19.0	32.0	17.0	15.0	29.0
WBGene00000097	763.0	651.0	628.0	595.0	478.0	629.0
WBGene00000098	2736.0	2232.0	2250.0	989.0	2431.0	1655.0
WBGene00000099	838.0	567.0	666.0	345.0	678.0	514.0
WBGene00000100	3868.0	6240.0	6278.0	3483.0	7433.0	6098.0
WBGene00000101	2892.0	2399.0	2432.0	1582.0	2741.0	2611.0
WBGene00000102	2161.0	2517.0	1812.0	1667.0	2180.0	2318.0
WBGene00000103	311.0	333.0	314.0	597.0	288.0	681.0
WBGene00000105	1199.0	2698.0	2054.0	1988.0	3025.0	3896.0
WBGene00000106	442.0	549.0	638.0	1016.0	1020.0	1444.0
WBGene00000107	4304.0	4558.0	3461.0	5249.0	3922.0	5915.0
WBGene00000108	3.0	0.0	0.0	7.0	0.0	7.0
WBGene00000109	1837.0	2368.0	1746.0	3338.0	1930.0	3746.0
WBGene00000110	3422.0	2790.0	1908.0	3283.0	3675.0	3323.0
WBGene00000111	136.0	326.0	159.0	338.0	267.0	327.0
WBGene00000112	2496.0	1928.0	2537.0	3402.0	1901.0	3813.0
WBGene00000113	763.0	1104.0	946.0	1113.0	1085.0	1515.0
WBGene00000114	14827.0	14255.0	16241.0	18050.0	15436.0	22681.0
WBGene00000115	2118.0	1343.0	1556.0	5524.0	1405.0	4527.0
WBGene00000116	370.0	280.0	347.0	539.0	270.0	425.0
WBGene00000117	928.0	826.0	920.0	932.0	838.0	1361.0
WBGene00000118	1562.0	2743.0	1241.0	1834.0	1894.0	1868.0
WBGene00000120	243.0	365.0	260.0	581.0	248.0	521.0
WBGene00000121	2226.0	1191.0	1708.0	1300.0	1483.0	1453.0
WBGene00000122	3293.0	2346.0	2797.0	2752.0	2523.0	3351.0
WBGene00000123	1825.0	1720.0	3132.0	2281.0	4320.0	5359.0
WBGene00000133	422.0	184.0	61.0	220.0	244.0	133.0
WBGene00000134	14.0	9.0	27.0	23.0	23.0	34.0
WBGene00000135	55.0	65.0	106.0	88.0	61.0	113.0
WBGene00000136	308.0	173.0	388.0	566.0	217.0	1359.0
WBGene00000137	105.0	127.0	126.0	208.0	129.0	209.0
WBGene00000138	1154.0	1355.0	925.0	1362.0	2154.0	1601.0
WBGene00000139	109.0	143.0	80.0	118.0	91.0	125.0
WBGene00000140	2560.0	2312.0	2729.0	3448.0	3700.0	4976.0
WBGene00000142	1442.0	1013.0	1064.0	1229.0	957.0	1251.0
WBGene00000143	938.0	530.0	633.0	468.0	601.0	615.0
WBGene00000144	285.0	205.0	229.0	148.0	192.0	198.0
WBGene00000145	308.0	196.0	200.0	160.0	132.0	172.0
WBGene00000146	1811.0	2113.0	2130.0	2123.0	2229.0	2519.0
WBGene00000147	367.0	291.0	270.0	372.0	272.0	348.0
WBGene00000148	658.0	536.0	524.0	658.0	522.0	765.0
WBGene00000149	5859.0	6520.0	7642.0	8326.0	9552.0	10979.0
WBGene00000150	1673.0	2084.0	1659.0	1557.0	1577.0	1955.0
WBGene00000151	1170.0	667.0	804.0	695.0	779.0	673.0
WBGene00000155	2243.0	2287.0	1861.0	1833.0	2268.0	2633.0
WBGene00000156	995.0	769.0	793.0	748.0	985.0	1101.0
WBGene00000157	361.0	482.0	426.0	579.0	233.0	588.0
WBGene00000158	1810.0	2018.0	2264.0	1999.0	2084.0	2929.0
WBGene00000159	1005.0	850.0	739.0	858.0	638.0	894.0
WBGene00000160	1683.0	2160.0	2065.0	2136.0	2108.0	3106.0
WBGene00000161	738.0	1321.0	997.0	1657.0	1012.0	2024.0
WBGene00000162	636.0	726.0	679.0	754.0	878.0	1147.0
WBGene00000163	1264.0	1350.0	1138.0	1315.0	1288.0	1678.0
WBGene00000164	155.0	250.0	152.0	311.0	198.0	331.0
WBGene00000165	904.0	808.0	720.0	792.0	728.0	950.0
WBGene00000166	31.0	61.0	52.0	84.0	48.0	98.0
WBGene00000168	935.0	646.0	936.0	303.0	1021.0	786.0
WBGene00000169	577.0	834.0	282.0	743.0	1004.0	870.0
WBGene00000170	1048.0	1238.0	1276.0	2862.0	1814.0	3713.0
WBGene00000171	20.0	23.0	9.0	6.0	32.0	15.0
WBGene00000172	609.0	483.0	256.0	467.0	634.0	429.0
WBGene00000173	3.0	4.0	9.0	5.0	13.0	18.0
WBGene00000174	36.0	12.0	32.0	39.0	27.0	36.0
WBGene00000175	2906.0	2874.0	2808.0	5567.0	4133.0	6159.0
WBGene00000176	893.0	332.0	326.0	1561.0	594.0	1182.0
WBGene00000177	124.0	145.0	83.0	205.0	120.0	186.0
WBGene00000178	1612.0	1697.0	1048.0	1697.0	1547.0	1869.0
WBGene00000179	975.0	848.0	510.0	1117.0	898.0	1142.0
WBGene00000180	394.0	401.0	319.0	573.0	334.0	742.0
WBGene00000181	2925.0	2515.0	2234.0	3371.0	2012.0	3269.0
WBGene00000182	7684.0	8588.0	9325.0	9234.0	7265.0	11756.0
WBGene00000183	6958.0	9936.0	8342.0	6571.0	6937.0	8898.0
WBGene00000184	506.0	435.0	477.0	477.0	446.0	504.0
WBGene00000185	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000186	556.0	605.0	689.0	685.0	786.0	982.0
WBGene00000187	1097.0	885.0	958.0	951.0	609.0	1067.0
WBGene00000188	45.0	49.0	42.0	78.0	61.0	129.0
WBGene00000189	231.0	204.0	175.0	280.0	123.0	238.0
WBGene00000190	499.0	281.0	250.0	112.0	709.0	218.0
WBGene00000191	87.0	63.0	20.0	29.0	79.0	34.0
WBGene00000192	1607.0	1300.0	1361.0	1234.0	1327.0	1413.0
WBGene00000193	8.0	14.0	12.0	19.0	6.0	15.0
WBGene00000195	187.0	307.0	254.0	324.0	279.0	427.0
WBGene00000196	607.0	486.0	544.0	641.0	505.0	749.0
WBGene00000197	3893.0	3626.0	3894.0	4629.0	3805.0	6085.0
WBGene00000198	2674.0	3642.0	2775.0	3064.0	3049.0	3819.0
WBGene00000199	1557.0	1849.0	1433.0	1971.0	1575.0	2271.0
WBGene00000200	1767.0	1787.0	1565.0	1738.0	1581.0	2349.0
WBGene00000201	1401.0	1327.0	1394.0	1550.0	1344.0	1869.0
WBGene00000202	580.0	436.0	487.0	385.0	479.0	526.0
WBGene00000203	732.0	594.0	639.0	860.0	572.0	805.0
WBGene00000204	810.0	758.0	805.0	909.0	725.0	1080.0
WBGene00000205	642.0	513.0	560.0	671.0	426.0	685.0
WBGene00000206	3437.0	2428.0	2523.0	1735.0	1986.0	2198.0
WBGene00000207	8867.0	6716.0	8307.0	12163.0	7071.0	14227.0
WBGene00000208	975.0	707.0	743.0	799.0	848.0	914.0
WBGene00000209	3583.0	1954.0	2694.0	3022.0	1560.0	2745.0
WBGene00000210	3703.0	4117.0	3923.0	5820.0	2742.0	6239.0
WBGene00000211	198.0	225.0	201.0	189.0	222.0	214.0
WBGene00000212	350.0	728.0	222.0	262.0	502.0	290.0
WBGene00000213	17.0	14.0	6.0	15.0	35.0	13.0
WBGene00000214	42327.0	70060.0	43725.0	48020.0	81397.0	78366.0
WBGene00000215	12661.0	15915.0	9572.0	12679.0	15751.0	17717.0
WBGene00000216	19100.0	34485.0	15486.0	26005.0	25676.0	30819.0
WBGene00000217	4820.0	6815.0	3547.0	5071.0	5079.0	5063.0
WBGene00000218	13838.0	20670.0	13757.0	16120.0	20725.0	21179.0
WBGene00000219	14555.0	34610.0	18005.0	20923.0	36196.0	34094.0
WBGene00000220	73.0	202.0	137.0	229.0	69.0	411.0
WBGene00000221	1524.96	1634.87	1768.76	1872.78	1332.55	2302.17
WBGene00000222	160.0	378.0	196.0	422.0	359.0	482.0
WBGene00000223	3355.0	3496.0	3157.0	3412.0	3005.0	4201.0
WBGene00000224	1050.0	1694.0	970.0	1724.0	1504.0	1902.0
