"","Category","RGS","AC","PValue"
"154","Unassigned: regulated by multiple stresses",414,1707,3.72526040731547e-114
"15","Cytoskeleton: microtubule: tau tubulin kinase",64,74,2.66119294629232e-45
"135","Transmembrane protein: unassigned",252,1692,7.31984302296922e-40
"108","Signaling: phosphatase: Y ",56,90,1.76499652919701e-34
"33","Major sperm protein",30,31,3.99844655744065e-23
"107","Signaling: phosphatase: unassigned",39,98,3.13178686914077e-19
"114","Signaling: Y kinase",30,73,1.78911990783237e-15
"26","Extracellular material: collagen",28,184,2.63018214559758e-06
"152","Unassigned: membrane spanning domain",29,210,9.4828747952654e-06
"21","Development: germline",8,23,0.000100593354188077
"84","Proteolysis general: metallopeptidase",17,123,0.000590991102272441
"18","Cytoskeleton: paxillin",4,5,0.000612679385764774
"140","Transmembrane transport: ion",4,8,0.00213525291510804
"14","Cytoskeleton: microtubule: RMDN",3,5,0.00558309537238693
"110","Signaling: S/T kinase",9,66,0.0115560341322936
"142","Transmembrane transport: mitochondrial: solute carrier",6,34,0.0131162112405297
"136","Transmembrane transport: ABC",7,50,0.021764839808778
"24","DNA: transposon function",2,3,0.0220373092288055
"101","Signaling: lipid: phospholipase A",4,19,0.0247681714795517
"82","Proteolysis general: inhibitor: peptidase inhibitor 16",3,11,0.0290647406548664
"64","mRNA functions: processing: cold shock",2,4,0.0319815071194481
"103","Signaling: lipid: phospholipase patatin",2,4,0.0319815071194481
"138","Transmembrane transport: chloride channel",6,44,0.0358618797793848
"50","Metabolism: lipid: phospholipid",7,58,0.0409196732406249
"41","Metabolism: creatine kinase",2,6,0.0559058907047546
"143","Transmembrane transport: monocarboxylate",2,6,0.0559058907047546
"68","Neuronal function: development",3,15,0.0563124881130671
"17","Cytoskeleton: motor protein: kinesin",3,16,0.0644941307239836
"37","Metabolism: amino acid: synthesis",5,39,0.0645970529646602
"124","Trafficking: vesicle targeting/fusion: SNARE",3,21,0.112602998077763
"35","Metabolism: 1CC: transsulfuration",2,10,0.115774294542326
"97","Signaling: casein kinase",2,10,0.115774294542326
"5","Cell cycle: cyclin",2,11,0.132516680798495
"11","Cytoskeleton: centrosome: kinase",1,2,0.140823878881807
"76","Nucleic acid: helicase",1,2,0.140823878881807
"60","Metabolism: unassigned",14,192,0.142893552496668
"13","Cytoskeleton: innexin",3,24,0.146335602691701
"80","Proteolysis general: cysteine: calpain",2,12,0.149758670822434
"130","Transcription: chromatin structure: unassigned",2,12,0.149758670822434
"29","Extracellular material: PGI",5,53,0.157509856785591
"46","Metabolism: lipid: fatty acid",6,68,0.15831161264907
"86","Proteolysis general: unassigned",6,68,0.15831161264907
"8","Cell cycle: unassigned",3,26,0.17041351987294
"87","Proteolysis proteasome: 19S",3,26,0.17041351987294
"49","Metabolism: lipid: o-acyl transferase",5,56,0.182191915511737
"4","Cell cycle: chromosome dynamics: unassigned",2,14,0.185388622163354
"83","Proteolysis general: inhibitor: TIL domain",2,14,0.185388622163354
"9","Chaperone: cyclophilin",3,28,0.195516515371845
"141","Transmembrane transport: major facilitator",7,89,0.196155120632486
"128","Transcription: chromatin modification: demethylase",2,15,0.203618841567248
"1","Cell cycle: chromosome dynamics: CENP",1,4,0.223501877905304
"81","Proteolysis general: inhibitor: cysteine",1,4,0.223501877905304
"102","Signaling: lipid: phospholipase D",1,4,0.223501877905304
"44","Metabolism: lipid: beta oxidation",6,78,0.234417923245942
"31","Lysosome: acid phosphatase",3,31,0.234647523353735
"145","Transmembrane transport: solute carrier",13,197,0.240091710391217
"78","Protein modification: lipidation",2,17,0.240566018693142
"19","Development: apoptosis",5,64,0.253849246052161
"34","Metabolism: 1CC: methionine",1,5,0.261805952062475
"55","Metabolism: mitochondria: morphology",1,5,0.261805952062475
"109","Signaling: PKC",1,5,0.261805952062475
