"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000031","C03A7.14","Unassigned","Unassigned","Unassigned","abu-8 is involved in pharynx development."
"2","WBGene00000033","F35A5.3","Stress response","Stress response: ER","Stress response: ER","abu-10 is involved in endoplasmic reticulum unfolded protein response."
"3","WBGene00000034","T01D1.6","Stress response","Stress response: ER","Stress response: ER","abu-11 is involved in endoplasmic reticulum unfolded protein response."
"4","WBGene00000037","Y48B6A.8","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: unassigned","ace-3 is an ortholog of human BCHE\; exhibits acetylcholinesterase activity and protein homodimerization activity\; is involved in several processes, including acetylcholine catabolic process, hatching, and multicellular organismal movement\; is expressed in several tissues, including the head, the muscular system, the nervous system, and the vulva."
"5","WBGene00000039","C42D8.5","Development","Development: somatic","Development: somatic","acn-1 is an ortholog of human ACE2\; is predicted to have metallopeptidase activity and peptidyl-dipeptidase activity\; is involved in ecdysis, collagen and cuticulin-based cuticle, nematode male tail tip morphogenesis, and plasma membrane fusion\; is expressed in the epithelial system, the excretory gland cell, the male, and the vulva\; human orthologs of this gene are implicated in Alzheimer's disease."
"6","WBGene00000051","R01E6.4","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter receptor","acr-12 is an ortholog of human CHRNA6 (cholinergic receptor nicotinic alpha 6 subunit), CHRNB3 (cholinergic receptor nicotinic beta 3 subunit), and CHRNA4 (cholinergic receptor nicotinic alpha 4 subunit)\; exhibits acetylcholine-gated cation-selective channel activity\; is involved in calcium ion import across plasma membrane and regulation of muscle contraction\; localizes to the synapse\; is expressed in the nervous system\; human orthologs of this gene are implicated in autosomal dominant nocturnal frontal lobe epilepsy (multiple), congenital myasthenic syndrome (multiple), and multiple pterygium syndrome."
"7","WBGene00000111","T08B1.3","Metabolism","Metabolism: short chain dehydrogenase","Metabolism: short chain dehydrogenase","alh-5 is an ortholog of human ALDH3A1 (aldehyde dehydrogenase 3 A1), ALDH3A2 (aldehyde dehydrogenase 3 A2), and ALDH3B1 (aldehyde dehydrogenase 3 B1)\; is predicted to have oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor\; human orthologs of this gene are implicated in Sjogren-Larsson syndrome."
"8","WBGene00000136","C05E11.5","Transmembrane transport","Transmembrane transport: ammonium","Transmembrane transport: ammonium","amt-4 is predicted to have ammonium transmembrane transporter activity."
"9","WBGene00000150","F55A12.7","Unassigned","Unassigned","Unassigned","apm-1 is an ortholog of human AP1M1 (adaptor related protein complex 1 subunit mu 1) and AP1M2 (adaptor related protein complex 1 subunit mu 2)\; is involved in apical protein localization\; is expressed in several tissues, including the alimentary system, the epithelial system, the head, the tail, and the vulva."
"10","WBGene00000169","F32A5.5","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-1 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; exhibits substrate-specific channel activity\; is involved in defense response to Gram-negative bacterium, glycerol transport, and innate immune response\; localizes to the basolateral plasma membrane\; is expressed in the intestine and the pharynx."
"11","WBGene00000170","C01G6.1","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-2 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; exhibits water channel activity\; is involved in water transport\; is expressed in the excretory cell, the hypodermis, and the muscle cell."
"12","WBGene00000172","F40F9.9","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-4 is an ortholog of human AQP8 (aquaporin 8)\; exhibits water channel activity\; is involved in water transport\; localizes to the apical plasma membrane\; is expressed in the intestine."
"13","WBGene00000176","K02G10.7","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-8 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; is predicted to have channel activity\; localizes to the cell surface\; is expressed in several tissues, including the alimentary system, the excretory secretory system, the male, and the reproductive system."
"14","WBGene00000178","ZK1321.3","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-10 is an ortholog of human AQP11 (aquaporin 11), AQP12A (aquaporin 12A), and AQP12B (aquaporin 12B)\; is involved in innate immune response."
"15","WBGene00000193","C38D4.8","Cilia","Cilia: IFT","Cilia: IFT: BBSome","arl-6 is an ortholog of human ARL6 (ADP ribosylation factor like GTPase 6)\; exhibits GTPase activity\; is involved in intracellular transport\; localizes to the axoneme, cytosol, and dendrite\; is expressed in the head, the nervous system, and the sensillum\; is used to study Bardet-Biedl syndrome\; human orthologs of this gene are implicated in Bardet-Biedl syndrome 1, Bardet-Biedl syndrome 3, and retinitis pigmentosa 55."
"16","WBGene00000214","Y39B6A.20","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: cathepsin","asp-1 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity\; localizes to the cytoplasm and external side of apical plasma membrane\; is expressed in the intestine."
