"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00001243","F41H10.7","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid","elo-5 is an ortholog of human ELOVL3 and ELOVL6\; is predicted to have transferase activity, transferring acyl groups other than amino-acyl groups\; is expressed in amphid neurons and the intestine."
"2","WBGene00001387","F15B9.1","Metabolism","Metabolism: lipid","Metabolism: lipid: binding","far-3 is predicted to have lipid binding activity\; is expressed in the hypodermis, the intestine, the male, and the vulva."
"3","WBGene00001736","F40C5.3","Signaling","Signaling: hedgehog-like","Signaling: hedgehog-like","grl-27 is expressed in the arcade cell, the head, and the seam cell\; is predicted to encode a protein with the following domain: Ground-like domain."
"4","WBGene00004443","B0513.3","Ribosome","Ribosome: subunit","Ribosome: subunit","rpl-29 is an ortholog of human RPL29 (ribosomal protein L29)\; is predicted to be a structural constituent of ribosome."
"5","WBGene00004453","C26F1.9","Ribosome","Ribosome: subunit","Ribosome: subunit","rpl-39 is an ortholog of human RPL39 (ribosomal protein L39) and RPL39L (ribosomal protein L39 like)\; is predicted to be a structural constituent of ribosome."
"6","WBGene00004994","T25C12.2","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","spp-9 is enriched in the muscle cell based on RNA-seq studies\; is affected by several genes including daf-2, age-1, and daf-12 based on microarray, tiling array, and RNA-seq studies\; is affected by eight chemicals including methylmercuric chloride, Rotenone, and D-glucose based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: Saposin B type, region 2, Saposin B type domain, and Saposin-like."
"7","WBGene00004997","T22G5.7","Stress response","Stress response: pathogen","Stress response: pathogen: saposin ","spp-12 exhibits channel activity\; is involved in defense response to Gram-positive bacterium, pathogenesis, and pore formation in membrane of other organism\; localizes to the pore complex\; is expressed in the I6 neuron, the NSML, and the NSMR."
"8","WBGene00005552","Y27F2A.3","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: sri ","sri-40 is enriched in the germ line based on RNA-seq studies\; is affected by several genes including daf-16, daf-2, and dpy-10 based on RNA-seq, microarray, and tiling array studies\; is affected by seven chemicals including Lithium Chloride, methylmercuric chloride, and manganese chloride based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: 7TM GPCR, serpentine chemoreceptor class i (Sri)."
"9","WBGene00006925","K09F5.2","Metabolism","Metabolism: lipid","Metabolism: lipid: binding","vit-1 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity."
"10","WBGene00006927","F59D8.1","Metabolism","Metabolism: lipid","Metabolism: lipid: binding","vit-3 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity\; is expressed in the intestine."
"11","WBGene00006928","F59D8.2","Metabolism","Metabolism: lipid","Metabolism: lipid: binding","vit-4 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity."
"12","WBGene00006929","C04F6.1","Metabolism","Metabolism: lipid","Metabolism: lipid: binding","vit-5 is an ortholog of human CTD-3088G3.8\; is predicted to have lipid transporter activity and nutrient reservoir activity\; is expressed in the intestine."
"13","WBGene00008911","F17C8.6","Transmembrane transport","Transmembrane transport: calcium channel","Transmembrane transport: calcium channel","F17C8.6 is an ortholog of human NALCN (sodium leak channel, non-selective)\; is predicted to have cation channel activity."
"14","WBGene00010184","F57A10.2","Unassigned","Unassigned","Unassigned","F57A10.2 is expressed in the germ line\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
"15","WBGene00012591","Y38E10A.13","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","nspe-1 is enriched in the PLM based on RNA-seq studies\; is affected by several genes including daf-16, dpy-10, and clk-1 based on microarray, tiling array, and RNA-seq studies\; is affected by twenty-four chemicals including methylmercury hydroxide, 1-methylnicotinamide, and Rotenone based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Protein of unknown function DUF1412."
"16","WBGene00012593","Y38E10A.15","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","nspe-7 is enriched in the AFD, the PLM, the hypodermis, and the intestine based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, dpy-10, and clk-1 based on microarray and RNA-seq studies\; is affected by eighteen chemicals including hydrogen sulfide, tryptophan, and bisphenol A based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Protein of unknown function DUF1412."
"17","WBGene00012675","Y39B6A.13","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","Y39B6A.13 is enriched in the AFD, the body wall muscle cell, the germ line, and the intestine based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-2, glp-1, and skn-1 based on microarray and RNA-seq studies\; is affected by five chemicals including Rotenone, Zidovudine, and paraquat based on RNA-seq and microarray studies."
