"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000021","F55G11.9","Pseudogene","Pseudogene","Pseudogene","abt-3 is enriched in the male based on RNA-seq studies\; is affected by several genes including eat-2, sir-2.1, and npr-1 based on RNA-seq, tiling array, and microarray studies\; is affected by four chemicals including Tunicamycin, manganese chloride, and multi-walled carbon nanotube based on microarray and RNA-seq studies."
"2","WBGene00000023","Y53C10A.9","Transmembrane transport","Transmembrane transport: ABC","Transmembrane transport: ABC","abt-5 is an ortholog of human ABCA12 (ATP binding cassette subfamily A member 12), ABCA13 (ATP binding cassette subfamily A member 13), and ABCA3 (ATP binding cassette subfamily A member 3)\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in the head, the intestine, and the rectal gland cell."
"3","WBGene00000025","F19G12.7","Stress response","Stress response: ER","Stress response: ER","abu-2 is involved in endoplasmic reticulum unfolded protein response."
"4","WBGene00000027","Y5H2A.3","Stress response","Stress response: ER","Stress response: ER","abu-4 is involved in endoplasmic reticulum unfolded protein response."
"5","WBGene00000098","K07C11.2","Cytoskeleton","Cytoskeleton: centrosome","Cytoskeleton: centrosome: kinase","air-1 is an ortholog of human AURKA (aurora kinase A), AURKB (aurora kinase B), and AURKC\; exhibits protein kinase activity\; is involved in mitotic spindle assembly, positive regulation of protein localization to centrosome, and protein phosphorylation\; localizes to the astral microtubule and intracellular organelle\; is expressed in the germ line, the gon_herm_dtc_A, and the gon_herm_dtc_P."
"6","WBGene00000256","Y73B6BL.34","Extracellular material","Extracellular material: collagen","Extracellular material: collagen","bli-6 is an ortholog of human MARCO (macrophage receptor with collagenous structure)\; is predicted to be a structural constituent of cuticle."
"7","WBGene00000389","R05H5.2","Signaling","Signaling: phosphatase","Signaling: phosphatase: dual specificity","cdc-25.4 is an ortholog of human CDC25A (cell division cycle 25A), CDC25B (cell division cycle 25B), and CDC25C (cell division cycle 25C)\; is predicted to have protein tyrosine phosphatase activity."
"8","WBGene00000473","F46F11.2","mRNA functions","mRNA functions: processing","mRNA functions: processing: cold shock","cey-2 is an ortholog of human YBX1 (Y-box binding protein 1), YBX2 (Y-box binding protein 2), and YBX3 (Y-box binding protein 3)\; is predicted to have DNA binding activity\; localizes to the ribonucleoprotein complex\; is expressed in the germ line, the pharynx, and the somatic cell."
"9","WBGene00000474","M01E11.5","mRNA functions","mRNA functions: processing","mRNA functions: processing: cold shock","cey-3 is an ortholog of human YBX1 (Y-box binding protein 1), YBX2 (Y-box binding protein 2), and YBX3 (Y-box binding protein 3)\; exhibits ribonucleoprotein complex binding activity\; localizes to the ribonucleoprotein complex\; is expressed in germ cells, the head muscle, the intestine, the somatic cell, and the somatic nervous system."
"10","WBGene00000546","Y77E11A.10","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: calpain","clp-6 is an ortholog of human CAPN1 (calpain 1), CAPN11 (calpain 11), and CAPN3 (calpain 3)\; is predicted to have calcium-dependent cysteine-type endopeptidase activity\; is expressed in the hypodermis\; human orthologs of this gene are implicated in autosomal recessive limb-girdle muscular dystrophy type 2A."
