"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000032","R09F10.2","Unassigned","Unassigned","Unassigned","abu-9 is enriched in the pharynx based on microarray studies\; is affected by several genes including xbp-1, lin-22, and mir-34 based on microarray and RNA-seq studies\; is affected by Ethanol, multi-walled carbon nanotube, and Neurotoxins based on RNA-seq and microarray studies."
"2","WBGene00000219","F21F8.7","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: unassigned","asp-6 is an ortholog of human PGA4, NAPSA, and PGA5\; is predicted to have aspartic-type endopeptidase activity\; localizes to the extracellular space\; is expressed in the hypodermal cell, the intestine, the muscle cell, the pharynx, and the pseudocoelom."
"3","WBGene00000372","T10B9.10","Stress response","Stress response: detoxification","Stress response: detoxification: CYP","cyp-13A7 is an ortholog of human TBXAS1 (thromboxane A synthase 1) and members of the human CYP3 (Cytochrome P450 family 3) gene family including CYP3A4, CYP3A7, and CYP3A5\; is predicted to have heme binding activity, iron ion binding activity, and oxidoreductase activity\; is expressed in the intestine."
"4","WBGene00000458","C37E2.5","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain","ceh-37 is an ortholog of human CRX (cone-rod homeobox), OTX1 (orthodenticle homeobox 1), and OTX2 (orthodenticle homeobox 2)\; exhibits DNA binding activity, bending and double-stranded telomeric DNA binding activity\; is involved in neuron fate specification, olfactory behavior, and regulation of transcription by RNA polymerase II\; localizes to the nuclear chromosome, telomeric region\; is expressed in several tissues, including the amphid sensillum, the excretory cell, the head, the intestine, and the nervous system."
"5","WBGene00000516","T05A6.1","Cell cycle","Cell cycle: unassigned","Cell cycle: unassigned","cki-1 is predicted to have cyclin-dependent protein serine\/threonine kinase inhibitor activity\; is involved in several processes, including gonad development, negative regulation of cell cycle, and negative regulation of cell division\; localizes to the nucleus\; is expressed in several tissues, including the Q cell, the alimentary system, the epithelial system, the reproductive system, and the vulval precursor cell."
"6","WBGene00000781","C52E4.1","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: cathepsin","cpr-1 is an ortholog of human CTSB (cathepsin B)\; is predicted to have cysteine-type peptidase activity\; is expressed in the intestine and the male."
"7","WBGene00000784","F44C4.3","Proteolysis general","Proteolysis general: aspartate","Proteolysis general: aspartate: cathepsin","cpr-4 is an ortholog of human CTSB (cathepsin B)\; exhibits cysteine-type endopeptidase activity\; is involved in cellular response to UV, cellular response to gamma radiation, and proteolysis involved in cellular protein catabolic process\; localizes to the extracellular region."
"8","WBGene00000785","W07B8.5","Proteolysis general","Proteolysis general: cysteine","Proteolysis general: cysteine: unassigned","cpr-5 is an ortholog of human CTSB (cathepsin B)\; is predicted to have cysteine-type peptidase activity."
"9","WBGene00000799","K04H4.6","Development","Development: apoptosis","Development: apoptosis","crn-6 is an ortholog of human DNASE2B\; exhibits deoxyribonuclease II activity\; is involved in apoptotic DNA fragmentation\; is expressed in the seam cell."
"10","WBGene00000830","Y54G11A.6","Stress response","Stress response: oxidative","Stress response: oxidative","ctl-1 is an ortholog of human CAT\; exhibits catalase activity\; human orthologs of this gene are implicated in acatalasia."
