"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000004","F52H2.2","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-3 is an ortholog of human SLC7A5, SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; contributes to L-amino acid transmembrane transporter activity\; is involved in amino acid transmembrane transport\; localizes to the amino acid transport complex\; human orthologs of this gene are implicated in lysinuric protein intolerance."
"2","WBGene00000006","C55C2.5","Transmembrane transport","Transmembrane transport: amino acid","Transmembrane transport: amino acid","aat-5 is an ortholog of human SLC7A11 (solute carrier family 7 member 11), SLC7A6 (solute carrier family 7 member 6), and SLC7A7 (solute carrier family 7 member 7)\; is predicted to have transmembrane transporter activity."
"3","WBGene00000016","T22H6.5","Stress response","Stress response: pathogen","Stress response: pathogen: ASABF","abf-5 is enriched in the FLP based on microarray studies\; is affected by several genes including daf-16, daf-2, and skn-1 based on microarray, tiling array, and RNA-seq studies\; is affected by six chemicals including resveratrol, Quercetin, and Hydrolyzable Tannins based on microarray studies."
"4","WBGene00000038","Y48B6A.7","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter metabolism","ace-4 is an ortholog of human BCHE\; is predicted to have cholinesterase activity\; is expressed in several tissues, including the muscular system and the nervous system."
"5","WBGene00000115","F01F1.6","Metabolism","Metabolism: short chain dehydrogenase","Metabolism: short chain dehydrogenase","alh-9 is an ortholog of human ALDH7A1 (aldehyde dehydrogenase 7 A1)\; is predicted to have aldehyde dehydrogenase (NAD) activity\; is expressed in the ABa and the seam cell."
"6","WBGene00000170","C01G6.1","Transmembrane transport","Transmembrane transport: aquaporin","Transmembrane transport: aquaporin","aqp-2 is an ortholog of human AQP10 (aquaporin 10) and AQP9 (aquaporin 9)\; exhibits water channel activity\; is involved in water transport\; is expressed in the excretory cell, the hypodermis, and the muscle cell."
"7","WBGene00000237","Y71F9AR.1","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","bam-2 localizes to the integral component of plasma membrane\; is expressed in head neurons, tail neurons, the somatic gonad, the vulF, and ventral cord neurons."
"8","WBGene00000246","M7.3","mRNA functions","mRNA functions: binding","mRNA functions: binding: KH","bcc-1 is an ortholog of human BICC1 (BicC family RNA binding protein 1)\; is predicted to have RNA binding activity."
"9","WBGene00000287","M02B7.6","Signaling","Signaling: calcium","Signaling: calcium: calmodulin","cal-3 is an ortholog of human CALML6 (calmodulin like 6)\; is predicted to have calcium ion binding activity."
"10","WBGene00000387","F16B4.8","Cell cycle","Cell cycle: phosphatase","Cell cycle: phosphatase","cdc-25.2 is an ortholog of human CDC25A (cell division cycle 25A), CDC25B (cell division cycle 25B), and CDC25C (cell division cycle 25C)\; is predicted to have protein tyrosine phosphatase activity\; is expressed in several tissues, including the alimentary system, the epithelial system, the male, the nervous system, and the reproductive system."
"11","WBGene00000395","ZK112.7","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-3 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB15 (protocadherin beta 15), and PCDHB2 (protocadherin beta 2)\; is predicted to have structural molecule activity\; is involved in basement membrane disassembly and nematode male tail tip morphogenesis\; localizes to the basement membrane, cytoplasm, and plasma membrane\; is expressed in several tissues, including the epithelial system, the excretory cell, the male, the nervous system, and the reproductive system."
"12","WBGene00000399","R05H10.6","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-7 is an ortholog of human FAT1 (FAT atypical cadherin 1) and FAT2 (FAT atypical cadherin 2)\; is predicted to have calcium ion binding activity."
"13","WBGene00000402","C45G7.5","Cytoskeleton","Cytoskeleton: cadherin","Cytoskeleton: cadherin","cdh-10 is an ortholog of human PCDHGA3 (protocadherin gamma subfamily A, 3), PCDHB15 (protocadherin beta 15), and PCDHB2 (protocadherin beta 2)\; is predicted to have calcium ion binding activity\; is expressed in the K cell, the K' cell, the mc1, the mc2, and the seam cell."
"14","WBGene00000443","F31E3.1","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain","ceh-20 is an ortholog of human PBX1 (PBX homeobox 1), PBX3 (PBX homeobox 3), and PBX4 (PBX homeobox 4)\; exhibits RNA polymerase II transcription coactivator binding activity and enhancer sequence-specific DNA binding activity\; contributes to RNA polymerase II regulatory region sequence-specific DNA binding activity\; is involved in several processes, including mesodermal cell fate specification, muscle cell differentiation, and positive regulation of mesodermal cell fate specification\; localizes to the RNA polymerase II transcription factor complex\; is expressed in several tissues, including the Q cell, the hypodermis, the nervous system, the ventral cord blast cell, and the vulval precursor cell."
"15","WBGene00000458","C37E2.5","Transcription factor","Transcription factor: homeodomain","Transcription factor: homeodomain","ceh-37 is an ortholog of human CRX (cone-rod homeobox), OTX1 (orthodenticle homeobox 1), and OTX2 (orthodenticle homeobox 2)\; exhibits DNA binding activity, bending and double-stranded telomeric DNA binding activity\; is involved in neuron fate specification, olfactory behavior, and regulation of transcription by RNA polymerase II\; localizes to the nuclear chromosome, telomeric region\; is expressed in several tissues, including the amphid sensillum, the excretory cell, the head, the intestine, and the nervous system."
"16","WBGene00000482","T14G8.1","Transcription: chromatin","Transcription: chromatin modification","Transcription: chromatin modification: unassigned","chd-3 is an ortholog of human CHD4 (chromodomain helicase DNA binding protein 4)\; is predicted to have DNA helicase activity\; is involved in cell fate determination, negative regulation of Ras protein signal transduction, and negative regulation of vulval development\; is expressed in several tissues, including the embryonic cell, the head, the hypodermis, the pharynx, and the reproductive system."
